Date,Petrol_Price,ULSP__Diff_on_previous_WEEK_p_litre,_ULSP_Diff_on_previous__YEAR_p_litre,Duty_rate_ULSP_p_litre,VAT_percent_rate_ULSP,Diesel_Price,ULSD_Diff_on_previous_WEEK_p_litre,ULSD_Diff_on_previous__YEAR_p_litre,Duty_rate_ULSD_p_litre,VAT_percent_rate_ULSD,Petrol_Sales_Liters,Diesel_Sales_Liters,Petrol_Revenue,Diesel_Revenue,Total_Revenue,Operating_Cost,Profit
2003-12-01,76.0,0.0,,47.1,17.5,77.66,0.0,,47.1,17.50,13535.461294854933,11736.074322137723,1028695.0584089749,911423.5318572156,1940118.5902661905,397005.9295133095,1543112.6607528809
2003-12-08,75.97,0.0,,47.1,17.5,77.63,0.0,,47.1,17.50,12905.10321128885,11228.256194796637,980400.6909616139,871649.5284020628,1852050.2193636768,392602.51096818387,1459447.708395493
2003-12-15,75.96,0.0,,47.1,17.5,77.62,0.0,,47.1,17.50,13668.649009172836,10705.767446596552,1038270.5787367685,830981.6692048244,1869252.2479415927,393462.61239707965,1475789.6355445131
2003-12-22,75.92,0.0,,47.1,17.5,77.61,0.0,,47.1,17.50,13181.280655040599,9836.08771405057,1000722.8273306823,763378.7674874648,1764101.5948181471,388205.07974090736,1375896.5150772398
2003-12-29,75.94,0.0,,47.1,17.5,77.6,0.0,,47.1,17.50,13335.353125103362,11752.377029036297,1012686.7163203493,911984.4574532165,1924671.1737735658,396233.5586886783,1528437.6150848875
2004-01-05,75.88,-0.1,,47.1,17.5,77.54,-0.1,,47.1,17.50,13181.5466938853,10281.07101329456,1000215.7631320165,797194.2463708603,1797410.0095028768,389870.50047514384,1407539.509027733
2004-01-12,75.9,0.0,,47.1,17.5,77.54,0.0,,47.1,17.50,14408.139092254469,10178.740501217242,1093577.7571021141,789259.538464385,1882837.2955664992,394141.86477832496,1488695.4307881743
2004-01-19,76.36,0.5,,47.1,17.5,78.06,0.5,,47.1,17.50,13466.051387631032,11238.128172803856,1028267.6839595056,877248.285169069,1905515.9691285747,395275.79845642875,1510240.170672146
2004-01-26,76.44,0.1,,47.1,17.5,78.08,0.0,,47.1,17.50,12942.34453552205,11804.700962535708,989312.8162953055,921711.051154788,1911023.8674500934,395551.19337250467,1515472.6740775886
2004-02-02,76.48,0.0,,47.1,17.5,78.13,0.0,,47.1,17.50,13881.672456051594,11381.759127404206,1061670.309438826,889256.8406240905,1950927.1500629166,397546.3575031458,1553380.7925597709
2004-02-09,76.5,0.0,,47.1,17.5,77.98,-0.1,,47.1,17.50,12859.578175014489,11055.863648020942,983757.7303886084,862136.2472726732,1845893.9776612816,392294.6988830641,1453599.2787782175
2004-02-16,76.44,-0.1,,47.1,17.5,78.0,0.0,,47.1,17.50,13575.631797502378,11067.901736666114,1037721.2946010818,863296.3354599569,1901017.6300610388,395050.88150305196,1505966.7485579867
2004-02-23,76.38,-0.1,,47.1,17.5,77.93,-0.1,,47.1,17.50,12492.564938060112,11172.416223512122,954182.1099690313,870666.3962982998,1824848.506267331,391242.4253133666,1433606.0809539645
2004-03-01,76.32,-0.1,,47.1,17.5,77.87,-0.1,,47.1,17.50,12809.506975550785,11135.521435914707,977621.5723740358,867123.0542146782,1844744.626588714,392237.2313294357,1452507.3952592784
2004-03-08,76.73,0.4,,47.1,17.5,78.25,0.4,,47.1,17.50,13563.830617934562,10938.72656958775,1040752.723314119,855955.3540702414,1896708.0773843606,394835.403869218,1501872.6735151426
2004-03-15,77.39,0.7,,47.1,17.5,78.8,0.5,,47.1,17.50,13821.433289997705,10859.680441580751,1069640.7223129224,855742.8187965632,1925383.5411094856,396269.17705547425,1529114.3640540112
2004-03-22,77.44,0.1,,47.1,17.5,78.92,0.1,,47.1,17.50,13536.884140594986,10791.162748840192,1048296.3078476756,851638.564138468,1899934.8719861438,394996.7435993072,1504938.1283868365
2004-03-29,77.59,0.2,,47.1,17.5,79.01,0.1,,47.1,17.50,13390.37585880588,10513.26416445333,1038959.2628847483,830653.0016334577,1869612.264518206,393480.6132259103,1476131.6512922957
2004-04-05,77.86,0.3,,47.1,17.5,79.23,0.2,,47.1,17.50,13292.248152205355,10699.27996925329,1034934.4411307089,847703.9519639382,1882638.3930946472,394131.91965473234,1488506.4734399149
2004-04-12,77.88,0.0,,47.1,17.5,79.27,0.0,,47.1,17.50,12703.139004816287,10133.767274321846,989320.4656950923,803303.7318354928,1792624.197530585,389631.2098765293,1402992.987654056
2004-04-19,78.04,0.2,,47.1,17.5,79.43,0.2,,47.1,17.50,13079.277895802647,10769.2141492821,1020706.8469884386,855398.6798774772,1876105.5268659159,393805.2763432958,1482300.25052262
2004-04-26,78.4,0.4,,47.1,17.5,79.75,0.3,,47.1,17.50,13201.680614520106,10408.313557139632,1035011.7601783765,830063.0061818857,1865074.7663602622,393253.73831801314,1471821.028042249
2004-05-04,79.28,0.9,,47.1,17.5,80.64,0.9,,47.1,17.50,13942.961113109457,10348.964273113692,1105397.9570473179,834540.4789838882,1939938.436031206,396996.9218015603,1542941.5142296457
2004-05-10,80.3,1.0,,47.1,17.5,81.68,1.0,,47.1,17.50,13565.80914478423,10846.757660461391,1089334.4743261738,885963.1657064866,1975297.6400326602,398764.882001633,1576532.7580310272
2004-05-17,81.49,1.2,,47.1,17.5,82.83,1.2,,47.1,17.50,12488.679922318634,11314.35091453784,1017702.5268697453,937167.6862511692,1954870.2131209145,397743.51065604575,1557126.7024648688
2004-05-24,82.13,0.6,,47.1,17.5,83.48,0.6,,47.1,17.50,13519.441984697398,11115.126642400925,1110351.7702031971,927890.7721076292,2038242.5423108265,401912.1271155413,1636330.415195285
2004-05-31,82.35,0.2,,47.1,17.5,83.61,0.1,,47.1,17.50,13160.458859791841,10117.64975855073,1083763.787103858,845936.6963124265,1929700.4834162844,396485.0241708142,1533215.4592454704
2004-06-07,82.44,0.1,7.9,47.1,17.5,83.65,0.0,6.9,47.1,17.50,13012.73899984702,10349.398745371866,1072770.2031473883,865727.2050503566,1938497.4081977447,396924.8704098872,1541572.5377878575
2004-06-14,81.54,-0.9,7.1,47.1,17.5,82.6,-1.0,5.9,47.1,17.50,13675.038144420434,11137.308475195287,1115062.6102960422,919941.6800511306,2035004.2903471729,401750.21451735863,1633254.0758298142
2004-06-21,81.04,-0.5,6.6,47.1,17.5,82.09,-0.5,5.5,47.1,17.50,13894.699761247975,10375.655042584676,1126026.468651536,851737.5224457762,1977763.991097312,398888.1995548656,1578875.7915424462
2004-06-28,80.41,-0.6,6.1,47.1,17.5,81.04,-1.0,4.5,47.1,17.50,13857.4400595581,10694.54674000119,1114276.7551890668,866686.0678096964,1980962.822998763,399048.14114993816,1581914.681848825
2004-07-05,79.87,-0.5,5.6,47.1,17.5,80.51,-0.5,4.1,47.1,17.50,12982.99123838868,11012.37083960982,1036951.5102101039,886605.9762969867,1923557.4865070907,396177.8743253545,1527379.6121817362
2004-07-12,80.34,0.5,6.1,47.1,17.5,81.05,0.5,4.6,47.1,17.50,13238.593812074394,10396.912218054546,1063588.6268620568,842669.7352733209,1906258.3621353777,395312.91810676886,1510945.444028609
2004-07-19,80.84,0.5,5.8,47.1,17.5,81.68,0.6,4.8,47.1,17.50,13548.831715701783,10816.950202458384,1095287.5558973323,883528.4925368008,1978816.0484341332,398940.80242170667,1579875.2460124264
2004-07-26,80.87,0.0,5.8,47.1,17.5,81.7,0.0,4.8,47.1,17.50,13870.37256356118,10240.889802032718,1121697.0292151927,836680.6968260731,1958377.7260412658,397918.8863020633,1560458.8397392025
2004-08-02,80.86,0.0,5.7,47.1,17.5,81.79,0.1,5.0,47.1,17.50,13143.212881077354,10532.602942419515,1062760.1935639149,861461.5946604921,1924221.788224407,396211.08941122034,1528010.6988131867
2004-08-09,81.18,0.3,5.7,47.1,17.5,82.14,0.4,5.1,47.1,17.50,13283.570511668091,10895.812773657015,1078360.2541372157,894982.0612281872,1973342.315365403,398667.11576827016,1574675.1995971329
2004-08-16,81.25,0.1,5.4,47.1,17.5,82.33,0.2,4.9,47.1,17.50,12821.832512996985,10127.852506587331,1041773.891681005,833826.0968673349,1875599.9885483398,393779.999427417,1481819.9891209227
2004-08-23,81.51,0.3,5.5,47.1,17.5,82.82,0.5,5.1,47.1,17.50,12771.696687959664,10933.88989518416,1041020.9970355922,905544.7611191521,1946565.7581547443,397328.2879077372,1549237.470247007
2004-08-31,81.53,0.0,5.4,47.1,17.5,82.89,0.1,5.3,47.1,17.50,13775.662911197098,10748.794880429326,1123129.7971498994,890967.6076387869,2014097.4047886864,400704.8702394343,1613392.5345492521
2004-09-06,81.37,-0.2,5.1,47.1,17.5,82.92,0.0,5.3,47.1,17.50,14050.720014285413,10977.19598176686,1143307.087562404,910229.090808108,2053536.178370512,402676.8089185256,1650859.3694519866
2004-09-13,81.31,-0.1,5.1,47.1,17.5,82.91,0.0,5.3,47.1,17.50,13337.794939209833,10845.915653625865,1084496.1065071516,899234.8668421204,1983730.973349272,399186.5486674636,1584544.4246818083
2004-09-20,81.28,0.0,5.1,47.1,17.5,83.03,0.1,5.5,47.1,17.50,13876.16644894601,11300.206171989537,1127854.8089703317,938256.1184602913,2066110.927430623,403305.54637153115,1662805.3810590918
2004-09-27,81.63,0.3,5.5,47.1,17.5,83.46,0.4,5.9,47.1,17.50,13548.218012523817,10798.189801059163,1105941.0363623193,901216.9207963977,2007157.9571587169,400357.89785793587,1606800.059300781
2004-10-04,82.05,0.4,5.6,47.1,17.5,83.84,0.4,6.2,47.1,17.50,13036.440122697439,10570.637783549899,1069639.9120673249,886242.2717728235,1955882.1838401484,397794.10919200745,1558088.074648141
2004-10-11,83.11,1.1,7.2,47.1,17.5,85.01,1.2,7.6,47.1,17.50,13518.497802754206,10773.769001212913,1123522.352386902,915878.1027931098,2039400.455180012,401970.0227590006,1637430.4324210114
2004-10-18,83.35,0.2,7.3,47.1,17.5,85.34,0.3,7.8,47.1,17.50,14102.018283232985,10937.219211614554,1175403.2239074693,933382.2875191862,2108785.5114266556,405439.2755713328,1703346.2358553228
2004-10-25,83.94,0.6,7.9,47.1,17.5,86.03,0.7,8.5,47.1,17.50,13303.286980445026,10729.094028130281,1116677.9091385554,923023.9592400481,2039701.8683786034,401985.0934189302,1637716.7749596732
2004-11-01,84.27,0.3,8.3,47.1,17.5,86.42,0.4,8.9,47.1,17.50,14096.921827907003,10719.936676481553,1187947.602437723,926416.9275815359,2114364.530019259,405718.226500963,1708646.3035182962
2004-11-08,84.34,0.1,8.4,47.1,17.5,86.54,0.1,9.1,47.1,17.50,12003.32744795513,10421.103324877298,1012360.6369605357,901842.2817348815,1914202.9186954172,395710.1459347709,1518492.7727606464
2004-11-15,84.26,-0.1,8.3,47.1,17.5,86.42,-0.1,8.9,47.1,17.50,13725.75125218761,10438.539632979622,1156531.800509328,902098.595082099,2058630.395591427,402931.51977957133,1655698.8758118558
2004-11-22,81.46,-2.8,5.4,47.1,17.5,85.17,-1.3,7.5,47.1,17.50,13414.323534119085,10161.407891280123,1092730.7950893405,865447.1101003281,1958177.9051896688,397908.8952594834,1560269.0099301853
2004-11-29,84.17,2.7,8.2,47.1,17.5,86.36,1.2,8.7,47.1,17.50,13167.096324767066,11404.430697274776,1108274.497655644,984886.6350166497,2093161.1326722938,404658.0566336147,1688503.076038679
2004-12-06,84.06,-0.1,8.1,47.1,17.5,86.4,0.0,8.8,47.1,17.50,13364.68038826775,10206.454705843485,1123435.033437787,881837.6865848772,2005272.7200226644,400263.63600113324,1605009.084021531
2004-12-13,82.73,-1.3,6.8,47.1,17.5,85.98,-0.4,8.4,47.1,17.50,12351.615542699554,10433.137920881636,1021849.1538475341,897041.1984374031,1918890.3522849372,395944.51761424687,1522945.8346706904
2004-12-20,81.46,-1.3,5.5,47.1,17.5,85.17,-0.8,7.6,47.1,17.50,13260.964056081244,10435.087093772321,1080238.1320083782,888756.3677765887,1968994.499784967,398449.7249892483,1570544.7747957185
2004-12-27,81.2,-0.3,5.3,47.1,17.5,85.14,0.0,7.5,47.1,17.50,13554.556285755873,11080.869750777776,1100629.970403377,943425.2505812199,2044055.2209845968,402202.7610492298,1641852.4599353669
2005-01-03,81.17,0.0,5.3,47.1,17.5,85.12,0.0,7.6,47.1,17.50,14115.547022370758,10605.22012868319,1145758.9518058344,902716.3373535131,2048475.2891593475,402423.76445796737,1646051.5247013802
2005-01-10,79.84,-1.3,3.9,47.1,17.5,84.87,-0.3,7.3,47.1,17.50,13144.064890863177,11226.046829069493,1049422.140886516,952754.594383128,2002176.735269644,400108.8367634822,1602067.8985061618
2005-01-17,78.93,-0.9,2.6,47.1,17.5,83.94,-0.9,5.9,47.1,17.50,13017.153198553406,10471.503750302452,1027443.9019618204,878978.0248003878,1906421.9267622083,395321.0963381104,1511100.8304240978
2005-01-24,78.93,0.0,2.5,47.1,17.5,83.87,-0.1,5.8,47.1,17.50,13170.521478207731,10853.547664889522,1039549.2602749363,910287.0426542843,1949836.3029292207,397491.815146461,1552344.4877827596
2005-01-31,79.54,0.6,3.1,47.1,17.5,84.23,0.4,6.1,47.1,17.50,13866.901058851037,10402.411178696097,1102973.3102210115,876195.0935815723,1979168.403802584,398958.4201901292,1580209.9836124547
2005-02-07,79.84,0.3,3.3,47.1,17.5,84.27,0.0,6.3,47.1,17.50,13567.575554829842,11594.009651109356,1083235.2322976147,977027.1932989854,2060262.4255966,403013.12127983,1657249.3043167698
2005-02-14,80.03,0.2,3.6,47.1,17.5,84.32,0.0,6.3,47.1,17.50,13134.51989811648,10260.160632388195,1051155.627446262,865136.7445229725,1916292.3719692344,395814.61859846173,1520477.7533707726
2005-02-21,80.15,0.1,3.8,47.1,17.5,84.36,0.0,6.4,47.1,17.50,13653.633716556678,10858.528284090811,1094338.742382018,916025.4460459008,2010364.1884279186,400518.2094213959,1609845.9790065228
2005-02-28,80.45,0.3,4.1,47.1,17.5,84.65,0.3,6.8,47.1,17.50,13439.53877467402,10983.76075237284,1081210.8944225248,929775.347688361,2010986.2421108857,400549.31210554426,1610436.9300053413
2005-03-07,81.16,0.7,4.4,47.1,17.5,85.64,1.0,7.4,47.1,17.50,13861.122495266443,10880.919638980598,1124968.7017158244,931841.9578822985,2056810.6595981228,402840.53297990613,1653970.1266182167
2005-03-14,81.64,0.5,4.2,47.1,17.5,86.11,0.5,7.3,47.1,17.50,13016.173453061325,10634.234936448916,1062640.4007079266,915713.9703776162,1978354.3710855427,398917.71855427715,1579436.6525312655
2005-03-21,82.7,1.1,5.3,47.1,17.5,87.06,0.9,8.1,47.1,17.50,13182.168926701115,10642.17172010663,1090165.3702381824,926507.4699524832,2016672.8401906656,400833.6420095333,1615839.1981811323
2005-03-28,83.4,0.7,5.8,47.1,17.5,87.68,0.6,8.7,47.1,17.50,13135.945923433921,10702.324588791644,1095537.890014389,938379.8199452513,2033917.7099596404,401695.88549798203,1632221.8244616585
2005-04-04,83.91,0.5,6.1,47.1,17.5,88.3,0.6,9.1,47.1,17.50,12590.042525933939,10616.699199348604,1056430.4683511169,937454.5393024817,1993885.0076535987,399694.2503826799,1594190.7572709187
2005-04-11,85.61,1.7,7.7,47.1,17.5,89.82,1.5,10.5,47.1,17.50,13435.860138532287,11038.251646717965,1150243.986459749,991455.7629082075,2141699.7493679565,407084.9874683978,1734614.7618995588
2005-04-18,85.63,0.0,7.6,47.1,17.5,89.8,0.0,10.4,47.1,17.50,13417.927636089944,11537.20920063654,1148977.143478382,1036041.3862171613,2185018.5296955435,409250.9264847772,1775767.6032107663
2005-04-25,85.51,-0.1,7.1,47.1,17.5,89.62,-0.2,9.9,47.1,17.50,13292.35672832123,10432.703285996868,1136629.4238387486,934978.8684910394,2071608.292329788,403580.41461648943,1668027.8777132984
2005-05-02,85.44,-0.1,6.2,47.1,17.5,89.3,-0.3,8.7,47.1,17.50,13173.906433312428,10112.57880816837,1125578.5656622138,903053.2875694353,2028631.8532316491,401431.59266158246,1627200.2605700667
2005-05-09,85.36,-0.1,5.1,47.1,17.5,89.46,0.2,7.8,47.1,17.50,12585.114628974792,10622.787180659498,1074265.3847292883,950314.5411817986,2024579.9259110868,401228.99629555433,1623350.9296155325
2005-05-16,85.27,-0.1,3.8,47.1,17.5,89.4,-0.1,6.6,47.1,17.50,13084.277338617321,11690.883735061727,1115696.3286638989,1045165.0059145185,2160861.3345784172,408043.06672892085,1752818.2678494963
2005-05-23,84.77,-0.5,2.6,47.1,17.5,89.0,-0.4,5.5,47.1,17.50,13133.242741736616,10343.530172812109,1113304.9872170128,920574.1853802777,2033879.1725972905,401693.9586298645,1632185.213967426
2005-05-30,84.18,-0.6,1.8,47.1,17.5,88.39,-0.6,4.8,47.1,17.50,12915.26136538919,11329.796722177627,1087206.701738462,1001440.7322732805,2088647.4340117425,404432.3717005871,1684215.0623111553
2005-06-06,84.01,-0.2,1.6,47.1,17.5,88.23,-0.2,4.6,47.1,17.50,13239.157144166995,11347.630325630576,1112221.5916814692,1001201.4236303858,2113423.015311855,405671.15076559276,1707751.8645462622
2005-06-13,84.99,1.0,3.4,47.1,17.5,88.96,0.7,6.4,47.1,17.50,13502.22542840727,10444.164703316803,1147554.1391603337,929112.8920070627,2076667.0311673963,403833.3515583698,1672833.6796090265
2005-06-20,85.52,0.5,4.5,47.1,17.5,89.54,0.6,7.4,47.1,17.50,14232.692950605266,10884.49323167411,1217179.9011357622,974597.5239640999,2191777.4250998623,409588.87125499314,1782188.5538448691
2005-06-27,86.73,1.2,6.3,47.1,17.5,90.27,0.7,9.2,47.1,17.50,13352.688906415919,11297.308649251416,1158078.7088534527,1019808.0517679253,2177886.760621378,408894.3380310689,1768992.4225903093
2005-07-04,87.49,0.8,7.6,47.1,17.5,91.0,0.7,10.5,47.1,17.50,13378.975195361383,10483.348903605005,1170526.5398421674,953984.7502280554,2124511.2900702227,406225.5645035111,1718285.7255667115
2005-07-11,87.73,0.2,7.4,47.1,17.5,91.89,0.9,10.8,47.1,17.50,13208.177042116917,10540.217855959056,1158753.371904917,968540.6187840776,2127293.9906889945,406364.6995344497,1720929.2911545448
2005-07-18,88.55,0.8,7.7,47.1,17.5,92.67,0.8,11.0,47.1,17.50,12269.614392350479,10377.277634420543,1086474.3544426349,961662.3183817518,2048136.6728243865,402406.8336412193,1645729.839183167
2005-07-25,89.0,0.4,8.1,47.1,17.5,93.03,0.4,11.3,47.1,17.50,13206.743062275391,10198.647307722853,1175400.1325425098,948780.159037457,2124180.291579967,406209.0145789983,1717971.2770009686
2005-08-01,89.25,0.2,8.4,47.1,17.5,93.26,0.2,11.5,47.1,17.50,13245.115104970513,10341.388981973598,1182126.5231186184,964437.9364588577,2146564.459577476,407328.2229788738,1739236.2365986023
2005-08-08,89.67,0.4,8.5,47.1,17.5,93.63,0.4,11.5,47.1,17.50,14438.221056242644,10105.973893295097,1294675.282113278,946222.3356292199,2240897.617742498,412044.8808871249,1828852.736855373
2005-08-15,90.56,0.9,9.3,47.1,17.5,94.5,0.9,12.2,47.1,17.50,13092.619517609439,10596.133387303691,1185667.623514711,1001334.6051001988,2187002.2286149096,409350.11143074546,1777652.117184164
2005-08-22,90.77,0.2,9.3,47.1,17.5,94.68,0.2,11.9,47.1,17.50,13335.373671166806,10271.810707576542,1210451.868131811,972535.037793347,2182986.905925158,409149.3452962579,1773837.5606289
2005-08-29,91.42,0.6,9.9,47.1,17.5,95.33,0.7,12.4,47.1,17.50,13154.24411514738,10663.564364716298,1202560.9970067735,1016557.5908884046,2219118.5878951782,410955.9293947589,1808162.6585004195
2005-09-05,94.37,3.0,13.0,47.1,17.5,97.19,1.9,14.3,47.1,17.50,12528.260981190235,9919.79174151855,1182291.9887949226,964104.5593581878,2146396.5481531103,407319.82740765554,1739076.7207454548
2005-09-12,95.07,0.7,13.8,47.1,17.5,97.89,0.7,15.0,47.1,17.50,13670.01140725751,10664.002092885783,1299607.9844879715,1043899.1648725893,2343507.149360561,417175.357468028,1926331.7918925327
2005-09-19,94.41,-0.7,13.1,47.1,17.5,97.32,-0.6,14.3,47.1,17.50,13487.766516343387,10873.611584643571,1273380.036807979,1058219.8794175123,2331599.916225491,416579.99581127457,1915019.9204142166
2005-09-26,93.33,-1.1,11.7,47.1,17.5,96.27,-1.0,12.8,47.1,17.50,13528.915973521523,9758.455742971419,1262653.7278087637,939446.5343758585,2202100.262184622,410105.01310923113,1791995.249075391
2005-10-03,93.51,0.2,11.5,47.1,17.5,96.61,0.3,12.8,47.1,17.50,12675.10627260263,10700.472627939029,1185249.187551072,1033772.6605851896,2219021.8481362616,410951.09240681306,1808070.7557294485
2005-10-10,94.25,0.7,11.1,47.1,17.5,97.05,0.4,12.0,47.1,17.50,13816.39715546805,11035.317596989316,1302195.4319028638,1070977.5727878131,2373173.004690677,418658.6502345338,1954514.354456143
2005-10-17,94.14,-0.1,10.8,47.1,17.5,97.0,0.0,11.7,47.1,17.50,12416.27446860386,10061.143592523518,1168868.0784743675,975930.9284747812,2144799.0069491486,407239.95034745743,1737559.056601691
2005-10-24,93.47,-0.7,9.5,47.1,17.5,96.8,-0.2,10.8,47.1,17.50,13424.028546900136,11217.028954735082,1254743.9482787556,1085808.402818356,2340552.3510971116,417027.6175548556,1923524.733542256
2005-10-31,92.79,-0.7,8.5,47.1,17.5,96.57,-0.2,10.2,47.1,17.50,14239.42781290499,10719.057603746418,1321276.5067594543,1035139.3927937915,2356415.899553246,417820.79497766227,1938595.1045755837
2005-11-07,92.47,-0.3,8.1,47.1,17.5,96.59,0.0,10.0,47.1,17.50,12655.331837434656,10269.145257696637,1170238.5350075827,991896.7404409181,2162135.275448501,408106.76377242507,1754028.511676076
2005-11-14,90.53,-1.9,6.3,47.1,17.5,94.92,-1.7,8.5,47.1,17.50,12906.251135198614,10553.892368936919,1168402.9152695306,1001775.4636594923,2170178.3789290227,408508.91894645116,1761669.4599825717
2005-11-21,88.61,-1.9,7.1,47.1,17.5,93.22,-1.7,8.1,47.1,17.50,13277.62568254382,10825.030765008689,1176530.4117302077,1009109.36791411,2185639.779644318,409281.9889822159,1776357.790662102
2005-11-28,87.35,-1.3,3.2,47.1,17.5,91.8,-1.4,5.4,47.1,17.50,13001.2621729419,10653.402156564965,1135660.250806475,977982.3179726638,2113642.568779139,405682.1284389569,1707960.4403401818
